transaction_id,date,time,branch_id,branch_city,customer_id,customer_name,account_number,account_type,transaction_mode,channel,location,status
T239127,2025-04-28,23:21,DEL04,Delhi,6420,David,A15852292,Current,Offline,NEFT,MobileApp,Failed
T109911,2025-04-28,16:50,DEL04,Delhi,2594,John,A82803955,Savings,Offline,NEFT,Kiosk,Success
T399449,2025-04-28,18:23,DEL04,Delhi,6412,Alice,A92925370,Savings,Offline,UPI,OnlinePortal,Failed
T698309,2025-04-28,15:30,DEL04,Delhi,5597,Grace,A13285833,Savings,Offline,NetBanking,Kiosk,Failed
T764821,2025-04-28,22:05,DEL04,Delhi,4581,Eva,A92199218,Savings,Offline,IMPS,Branch,Success
T800949,2025-04-28,17:38,DEL04,Delhi,1402,Frank,A63818510,Current,Offline,NEFT,ATM Booth,Success
T180041,2025-04-28,18:37,DEL04,Delhi,7525,David,A53423427,Savings,Online,UPI,ATM Booth,Success
T901566,2025-04-28,22:41,DEL04,Delhi,2775,Bob,A20197474,Current,Online,UPI,Branch,Success
T786357,2025-04-28,18:42,DEL04,Delhi,5984,Grace,A27597895,Savings,Offline,UPI,OnlinePortal,Failed
T280879,2025-04-28,06:52,DEL04,Delhi,6592,Frank,A67435953,Current,Offline,IMPS,ATM Booth,Success
T716801,2025-04-29,21:29,DEL04,Delhi,8370,Eva,A85315112,Current,Online,NEFT,ATM Booth,Success
T552567,2025-04-29,13:20,DEL04,Delhi,1404,Bob,A54134396,Current,Online,UPI,OnlinePortal,Success
T582954,2025-04-29,21:16,DEL04,Delhi,6598,Grace,A33326180,Savings,Offline,NEFT,MobileApp,Success
T163677,2025-04-29,06:18,DEL04,Delhi,2109,David,A47680660,Current,Offline,NEFT,MobileApp,Success
T926045,2025-04-29,16:21,DEL04,Delhi,4516,Charlie,A51996876,Current,Online,ATM,Kiosk,Failed
T362592,2025-04-29,09:45,DEL04,Delhi,7475,John,A46907925,Savings,Offline,NetBanking,ATM Booth,Success
T130593,2025-04-29,11:21,DEL04,Delhi,5955,Bob,A90337894,Current,Online,NetBanking,OnlinePortal,Failed
T761879,2025-04-29,20:43,DEL04,Delhi,6922,Helen,A80813216,Current,Offline,IMPS,Kiosk,Failed
T322922,2025-04-29,11:06,DEL04,Delhi,5531,John,A87325099,Current,Offline,NEFT,Kiosk,Success
T120805,2025-04-29,05:12,DEL04,Delhi,6013,Helen,A35020315,Savings,Online,IMPS,ATM Booth,Failed
T633044,2025-04-30,15:58,DEL04,Delhi,1450,David,A28461194,Savings,Offline,UPI,OnlinePortal,Failed
T117125,2025-04-30,12:58,DEL04,Delhi,6881,Frank,A89518128,Current,Online,ATM,OnlinePortal,Failed
T709155,2025-04-30,03:16,DEL04,Delhi,2321,Ivy,A62966176,Current,Online,NEFT,ATM Booth,Failed
T589064,2025-04-30,21:56,DEL04,Delhi,3682,David,A43651631,Current,Offline,IMPS,ATM Booth,Success
T794792,2025-04-30,00:33,DEL04,Delhi,1943,Ivy,A58601630,Savings,Online,NetBanking,Branch,Failed
T167170,2025-04-30,13:48,DEL04,Delhi,5377,David,A56018072,Current,Offline,IMPS,Kiosk,Failed
T344701,2025-04-30,09:03,DEL04,Delhi,1392,John,A95525341,Savings,Offline,NEFT,OnlinePortal,Success
T144631,2025-04-30,20:01,DEL04,Delhi,9445,Bob,A51392746,Current,Online,IMPS,OnlinePortal,Success
T878552,2025-04-30,18:34,DEL04,Delhi,2958,Bob,A23254460,Savings,Offline,IMPS,ATM Booth,Success
T137673,2025-04-30,02:51,DEL04,Delhi,7507,Bob,A63170447,Current,Offline,IMPS,MobileApp,Failed
T441007,2025-05-01,14:59,DEL04,Delhi,2217,Grace,A41867720,Savings,Offline,IMPS,OnlinePortal,Success
T584934,2025-05-01,22:28,DEL04,Delhi,5980,Bob,A92436035,Current,Online,UPI,Kiosk,Failed
T237604,2025-05-01,03:45,DEL04,Delhi,1239,Ivy,A95374632,Current,Online,NEFT,Kiosk,Failed
T536285,2025-05-01,11:58,DEL04,Delhi,5141,Alice,A97876657,Current,Offline,ATM,Branch,Failed
T596273,2025-05-01,19:56,DEL04,Delhi,8702,Alice,A96957764,Savings,Offline,NEFT,ATM Booth,Success
T400619,2025-05-01,11:48,DEL04,Delhi,2431,Eva,A16467254,Current,Offline,UPI,Branch,Success
T398004,2025-05-01,04:40,DEL04,Delhi,7041,Helen,A76944120,Savings,Offline,NEFT,MobileApp,Failed
T930950,2025-05-01,09:15,DEL04,Delhi,3007,Ivy,A83814336,Current,Offline,ATM,MobileApp,Failed
T395377,2025-05-01,10:57,DEL04,Delhi,4741,John,A86048497,Savings,Online,UPI,OnlinePortal,Failed
T755480,2025-05-01,18:42,DEL04,Delhi,8710,Frank,A32659113,Current,Offline,NEFT,MobileApp,Success
T878294,2025-05-02,15:22,DEL04,Delhi,4154,Ivy,A15548341,Savings,Online,UPI,Kiosk,Failed
T713012,2025-05-02,21:40,DEL04,Delhi,9012,Alice,A61360467,Savings,Online,ATM,OnlinePortal,Success
T488002,2025-05-02,02:06,DEL04,Delhi,8078,Alice,A71132039,Current,Offline,NetBanking,MobileApp,Success
T538737,2025-05-02,09:26,DEL04,Delhi,5243,Helen,A11591000,Savings,Offline,UPI,Branch,Failed
T420100,2025-05-02,16:41,DEL04,Delhi,6577,Ivy,A20585656,Current,Online,UPI,Branch,Failed
